FlightID,DepartureAirport,Path,Arrival Airport,Weather,Visibility (V),Turbulence Intensity (knots)  (TI),Wind Shear (m/s)  (WS),Air Traffic Density  (ATD),Precipitation(P),Pilot Experience(PE),Weather Forecast  Accuracy (%)  (FA),Maintenance History & Health Metrics  (MH),Safety Score
FL353,DEL,c,HYD,Clear Skies,17,7,4,0.17,0,16,68,3,86
FL354,JAI,b,BLR,Fog,4,9,7,0.15,0,4,94,4,70
FL355,BOM,b,CCU,Clear Skies,16,5,4,0.16,0,15,95,3,89
FL356,BOM,a,CCU,Smoke,2,5,0,0.01,0,9,82,1,74
FL357,AMD,c,COK,Fog,8,9,0,0.14,0,24,83,4,90
FL358,AMD,b,COK,Smoke,6,22,9,0.09,0,28,76,3,74
FL359,BOM,a,CCU,Smoke,8,9,4,0.19,0,3,58,3,72
FL360,MAA,a,PNQ,Rain,11,10,4,0.23,1,14,97,4,81
FL361,BLR,b,IXC,Fog,7,20,11,0.12,0,21,92,4,80
FL362,AMD,a,COK,Clear Skies,11,21,17,0.19,0,2,59,4,66
FL363,MAA,b,PNQ,Smoke,8,6,4,0.12,0,19,75,4,86
FL364,MAA,a,PNQ,Fog,3,5,7,0.11,0,15,96,4,79
FL365,MAA,a,PNQ,Rain,4,6,4,0.12,6,11,68,4,71
FL366,BOM,a,CCU,Rain,5,9,5,0.17,1,24,94,4,83
FL367,DEL,a,HYD,Clear Skies,17,12,7,0.05,0,11,97,4,87
FL368,BOM,a,CCU,Smoke,4,1,1,0.04,0,3,98,4,82
FL369,BOM,c,CCU,Smoke,7,7,3,0.17,0,2,80,3,71
FL370,BOM,c,CCU,Rain,10,9,7,0.04,3,29,89,4,87
FL371,JAI,a,BLR,Clear Skies,18,10,8,0.04,0,15,60,4,88
FL372,MAA,c,PNQ,Smoke,6,5,0,0.22,0,24,78,4,83
FL373,JAI,b,BLR,Fog,8,9,1,0.06,0,18,74,4,92
FL374,BLR,a,IXC,Clear Skies,16,11,5,0.02,0,18,81,1,83
FL375,MAA,b,PNQ,Fog,2,20,24,0.24,0,4,60,4,47
FL376,BLR,b,IXC,Rain,8,12,4,0.23,1,16,71,4,77
FL377,BLR,a,IXC,Clear Skies,17,8,2,0.2,0,26,76,4,85
FL378,BOM,b,CCU,Rain,5,19,24,0.08,1,18,97,3,65
FL379,BLR,b,IXC,Fog,6,12,5,0.05,0,22,73,4,83
FL380,DEL,a,HYD,Smoke,5,11,4,0.07,0,11,73,3,77
FL381,JAI,a,BLR,Clear Skies,13,8,4,0.2,0,21,58,4,87
FL382,BOM,c,CCU,Clear Skies,17,10,6,0.13,0,23,76,4,86
FL383,DEL,c,HYD,Clear Skies,10,19,16,0.21,0,22,73,4,75
FL384,DEL,c,HYD,Fog,5,12,4,0.13,0,18,87,4,81
FL385,BLR,a,IXC,Rain,11,8,4,0.06,2,9,58,3,77
FL386,BLR,c,IXC,Smoke,3,5,6,0.02,0,9,89,4,75
FL387,JAI,a,BLR,Clear Skies,15,9,7,0.15,0,2,99,4,79
FL388,BOM,c,CCU,Fog,8,6,3,0.15,0,27,74,4,86
FL389,BLR,a,IXC,Clear Skies,17,10,5,0.22,0,14,95,4,84
FL390,DEL,c,HYD,Clear Skies,8,13,14,0.2,0,27,86,4,76
FL391,AMD,a,COK,Fog,6,5,0,0.1,0,6,98,4,86
FL392,BOM,a,CCU,Rain,7,6,5,0.07,7,28,94,4,79
FL393,BLR,a,IXC,Smoke,5,4,2,0.04,0,29,97,3,87
FL394,DEL,c,HYD,Fog,5,8,6,0.09,0,23,76,4,82
FL395,BOM,b,CCU,Smoke,5,0,2,0.2,0,3,89,4,74
FL396,BLR,c,IXC,Fog,6,9,2,0.04,0,29,70,4,88
FL397,JAI,b,BLR,Clear Skies,12,6,2,0.19,0,14,93,4,89
FL398,DEL,c,HYD,Smoke,7,7,4,0.09,0,17,92,4,88
FL399,AMD,a,COK,Clear Skies,13,10,1,0.09,0,16,55,3,88
FL400,JAI,a,BLR,Fog,5,5,8,0.09,0,14,84,3,76
FL401,DEL,a,HYD,Smoke,8,10,7,0.24,0,4,76,4,69
FL402,BOM,a,CCU,Rain,5,10,7,0.18,4,25,61,4,71
FL403,JAI,b,BLR,Clear Skies,16,10,7,0.23,0,13,52,4,74
FL404,BOM,b,CCU,Rain,9,8,0,0.23,5,7,63,4,71
FL405,JAI,a,BLR,Clear Skies,9,5,0,0.05,0,5,62,4,84
FL406,DEL,c,HYD,Rain,5,11,5,0.22,3,7,66,4,68
FL407,MAA,c,PNQ,Rain,9,21,9,0.11,4,8,94,3,65
FL408,JAI,a,BLR,Fog,3,9,4,0.12,0,29,55,4,76
FL409,DEL,b,HYD,Rain,4,24,22,0.04,7,15,76,3,53
FL410,MAA,a,PNQ,Clear Skies,18,9,7,0.12,0,2,77,4,77
FL411,DEL,c,HYD,Fog,3,10,3,0.12,0,25,63,4,78
FL412,DEL,c,HYD,Smoke,2,2,2,0.15,0,7,71,4,74
FL413,BOM,c,CCU,Clear Skies,17,4,1,0.09,0,16,72,3,92
FL414,JAI,a,BLR,Smoke,6,22,25,0.21,0,10,86,4,56
FL415,MAA,b,PNQ,Rain,4,5,3,0.17,4,24,96,4,77
FL416,AMD,c,COK,Smoke,6,28,17,0.23,0,7,95,4,63
FL417,BOM,c,CCU,Smoke,4,5,2,0.14,0,7,75,4,74
FL418,MAA,a,PNQ,Clear Skies,10,5,5,0.03,0,5,57,4,86
FL419,MAA,a,PNQ,Clear Skies,12,17,14,0.06,0,23,62,4,83
FL420,BLR,c,IXC,Fog,7,6,7,0.17,0,30,74,4,80
FL421,BOM,b,CCU,Fog,5,10,3,0.15,0,3,60,4,72
FL422,AMD,a,COK,Rain,8,7,3,0.22,7,28,72,4,73
FL423,BOM,a,CCU,Clear Skies,15,10,5,0.25,0,6,58,1,68
FL424,DEL,c,HYD,Clear Skies,15,3,0,0.17,0,23,92,4,95
FL425,DEL,c,HYD,Fog,7,16,17,0.06,0,3,90,4,69
FL426,AMD,c,COK,Clear Skies,9,4,2,0.06,0,9,85,3,80
FL427,JAI,a,BLR,Fog,3,11,6,0.17,0,24,66,4,74
FL428,DEL,c,HYD,Fog,8,2,1,0.07,0,13,73,4,89
FL429,BLR,c,IXC,Smoke,4,8,5,0.1,0,19,63,4,80
FL430,AMD,c,COK,Clear Skies,16,6,2,0.14,0,14,64,3,81
FL431,BLR,a,IXC,Fog,2,18,24,0.06,0,8,71,3,56
FL432,MAA,b,PNQ,Rain,10,6,5,0.2,1,5,93,4,83
FL433,AMD,b,COK,Smoke,4,6,4,0.04,0,2,87,3,73
FL434,DEL,c,HYD,Smoke,3,7,7,0.23,0,11,87,3,66
FL435,DEL,b,HYD,Rain,11,30,25,0.06,2,10,70,3,63
FL436,BLR,b,IXC,Fog,4,8,4,0.15,0,28,85,3,77
FL437,DEL,a,HYD,Clear Skies,11,2,2,0.24,0,11,69,4,82
FL438,BLR,b,IXC,Smoke,3,0,1,0.02,0,26,65,3,86
FL439,MAA,a,PNQ,Smoke,7,9,0,0.11,0,12,63,4,82
FL440,BOM,c,CCU,Smoke,7,22,15,0.19,0,26,95,4,74
FL441,AMD,a,COK,Clear Skies,18,11,4,0.01,0,11,55,4,84
FL442,JAI,b,BLR,Rain,9,7,1,0.08,7,24,58,4,81
FL443,AMD,a,COK,Fog,5,6,1,0.25,0,18,91,1,76
FL444,AMD,b,COK,Clear Skies,12,8,1,0.16,0,4,71,4,84
FL445,MAA,b,PNQ,Clear Skies,8,6,1,0.07,0,16,94,4,95
FL446,JAI,a,BLR,Smoke,2,8,0,0.1,0,13,76,4,81
FL447,BOM,b,CCU,Fog,8,8,3,0.22,0,11,93,3,78
FL448,DEL,a,HYD,Clear Skies,15,15,15,0.14,0,19,72,4,80
FL449,AMD,a,COK,Fog,8,13,13,0.1,0,8,78,4,74
FL450,JAI,c,BLR,Smoke,4,6,1,0.18,0,30,72,4,84
FL451,BLR,b,IXC,Clear Skies,12,7,1,0.05,0,30,82,4,98
FL452,BOM,c,CCU,Rain,10,0,0,0.1,4,9,79,4,81
FL453,JAI,a,BLR,Smoke,3,11,4,0.24,0,13,93,4,73
FL454,DEL,c,HYD,Clear Skies,10,8,6,0.23,0,11,61,4,76
FL455,DEL,b,HYD,Rain,11,11,6,0.07,6,20,99,3,79
FL456,AMD,b,COK,Clear Skies,8,5,2,0.05,0,11,70,3,85
FL457,DEL,c,HYD,Rain,8,9,6,0.11,5,18,77,4,77
FL458,DEL,c,HYD,Smoke,4,3,2,0.17,0,22,88,3,77
FL459,MAA,c,PNQ,Smoke,2,5,5,0.05,0,21,92,4,85
FL460,BOM,c,CCU,Smoke,8,10,0,0.04,0,9,83,3,86
FL461,DEL,a,HYD,Fog,4,5,7,0.13,0,30,98,4,79
FL462,BOM,a,CCU,Clear Skies,13,11,3,0.21,0,16,80,3,80
FL463,JAI,c,BLR,Fog,4,12,4,0.14,0,23,78,4,78
FL464,JAI,c,BLR,Fog,7,18,14,0.21,0,14,75,4,70
FL465,BLR,b,IXC,Rain,4,8,1,0.08,2,30,59,4,81
FL466,DEL,a,HYD,Rain,11,4,2,0.11,2,23,84,4,86
FL467,BOM,c,CCU,Rain,4,8,6,0.06,4,11,97,4,72
FL468,MAA,b,PNQ,Rain,5,25,25,0.15,4,14,88,1,46
FL469,BOM,a,CCU,Rain,6,17,17,0.11,1,2,98,4,64
FL470,BOM,b,CCU,Clear Skies,15,5,5,0.14,0,19,79,4,89
FL471,BOM,a,CCU,Fog,5,7,7,0.12,0,14,85,4,77
FL472,BLR,a,IXC,Rain,10,5,4,0.02,3,2,77,3,79
FL473,MAA,b,PNQ,Rain,6,6,0,0.05,2,23,91,4,89
FL474,MAA,b,PNQ,Smoke,4,2,2,0.08,0,7,80,4,77
FL475,BOM,a,CCU,Rain,9,4,0,0.01,2,26,83,4,92
FL476,JAI,b,BLR,Rain,7,10,6,0.04,5,7,62,4,70
FL477,BOM,a,CCU,Rain,7,9,1,0.14,6,20,56,4,79
FL478,BOM,b,CCU,Smoke,8,7,1,0.11,0,7,53,3,77
FL479,DEL,a,HYD,Smoke,4,9,1,0.04,0,30,75,4,89
FL480,DEL,a,HYD,Fog,3,6,3,0.24,0,24,58,4,74
FL481,JAI,b,BLR,Rain,8,8,6,0.19,4,7,99,4,73
FL482,MAA,b,PNQ,Smoke,8,7,5,0.21,0,10,67,1,70
FL483,AMD,c,COK,Fog,5,5,7,0.15,0,13,99,4,79
FL484,AMD,c,COK,Rain,10,8,6,0.06,5,9,53,4,71
FL485,JAI,a,BLR,Fog,3,20,18,0.09,0,7,90,4,69
FL486,DEL,b,HYD,Clear Skies,13,18,11,0.18,0,27,85,4,83
FL487,DEL,a,HYD,Smoke,2,10,2,0.03,0,5,91,4,81
FL488,AMD,a,COK,Fog,2,8,5,0.11,0,11,81,4,77
FL489,AMD,c,COK,Rain,8,16,10,0.19,2,20,74,3,74
FL490,DEL,b,HYD,Smoke,4,8,5,0.1,0,10,91,4,80
FL491,AMD,a,COK,Smoke,2,11,5,0.17,0,18,88,4,78
FL492,BLR,c,IXC,Clear Skies,15,7,0,0.21,0,4,66,4,80
FL493,JAI,c,BLR,Clear Skies,18,7,6,0.15,0,26,81,4,86
FL494,JAI,a,BLR,Clear Skies,15,12,6,0.16,0,27,67,4,83
FL495,JAI,b,BLR,Smoke,8,11,5,0.24,0,3,70,3,68
FL496,AMD,c,COK,Rain,10,9,1,0.08,3,5,79,3,83
FL497,DEL,b,HYD,Smoke,8,16,23,0.16,0,18,73,4,69
FL498,DEL,c,HYD,Clear Skies,14,20,13,0.13,0,16,93,4,86
FL499,JAI,a,BLR,Clear Skies,9,11,4,0.12,0,23,81,3,81
FL500,DEL,b,HYD,Clear Skies,13,11,6,0.13,0,23,63,4,81
FL501,JAI,b,BLR,Rain,11,10,5,0.23,7,17,57,4,74
FL502,BLR,a,IXC,Fog,7,6,3,0.04,0,14,99,3,84
FL503,AMD,c,COK,Clear Skies,12,20,9,0.18,0,29,66,4,83
FL504,BLR,c,IXC,Clear Skies,17,13,10,0.11,0,17,91,3,83
FL505,AMD,c,COK,Rain,4,7,0,0.02,3,22,87,4,86
FL506,MAA,b,PNQ,Fog,7,11,3,0.04,0,11,94,4,85
FL507,BLR,b,IXC,Rain,9,1,1,0.23,5,24,90,3,79
FL508,BOM,b,CCU,Fog,8,18,19,0.15,0,13,67,4,74
FL509,BOM,c,CCU,Fog,4,7,5,0.21,0,14,69,3,70
FL510,JAI,c,BLR,Rain,11,9,4,0.19,5,29,96,4,86
FL511,JAI,a,BLR,Rain,11,5,7,0.13,7,13,57,4,71
FL512,JAI,b,BLR,Clear Skies,17,5,5,0.12,0,18,92,3,89
FL513,AMD,a,COK,Clear Skies,12,8,7,0.2,0,3,73,1,63
FL514,BLR,b,IXC,Smoke,3,12,5,0.12,0,9,80,3,69
FL515,BLR,c,IXC,Rain,7,5,6,0.04,5,20,88,4,78
FL516,MAA,a,PNQ,Smoke,7,19,15,0.03,0,13,84,3,72
FL517,BOM,a,CCU,Clear Skies,18,0,2,0.04,0,16,73,3,91
FL518,BOM,a,CCU,Smoke,5,10,2,0.05,0,7,83,4,80
FL519,JAI,a,BLR,Fog,6,11,4,0.1,0,7,81,1,68
FL520,BOM,a,CCU,Smoke,7,23,25,0.14,0,19,89,4,64
FL521,BOM,c,CCU,Smoke,6,24,20,0.09,0,13,66,3,68
FL522,DEL,b,HYD,Fog,8,0,1,0.18,0,20,81,3,87
FL523,BOM,b,CCU,Smoke,3,6,0,0.1,0,14,57,4,81
FL524,JAI,a,BLR,Fog,8,10,1,0.21,0,28,56,3,80
FL525,AMD,a,COK,Clear Skies,18,1,1,0.04,0,30,94,4,100
FL526,BOM,a,CCU,Fog,2,4,1,0.17,0,29,71,3,81
FL527,BOM,a,CCU,Rain,10,29,25,0.09,1,16,87,3,66
FL528,JAI,c,BLR,Clear Skies,13,11,5,0.11,0,24,88,4,87
FL529,AMD,a,COK,Rain,5,0,0,0.08,3,19,83,4,86
FL530,AMD,a,COK,Smoke,6,6,5,0.12,0,28,99,3,83
FL531,JAI,c,BLR,Smoke,2,8,2,0.23,0,20,67,4,76
FL532,BLR,c,IXC,Clear Skies,8,12,6,0.2,0,30,69,4,80
FL533,BOM,b,CCU,Clear Skies,9,2,2,0.06,0,30,53,1,75
FL534,BOM,b,CCU,Fog,8,12,5,0.05,0,9,73,3,80
FL535,JAI,c,BLR,Rain,9,5,2,0.04,3,10,77,3,82
FL536,BOM,a,CCU,Fog,4,8,5,0.04,0,11,62,4,80
FL537,AMD,a,COK,Clear Skies,15,12,3,0.07,0,29,79,4,89
FL538,MAA,a,PNQ,Smoke,8,10,7,0.13,0,7,90,3,76
FL539,BLR,b,IXC,Fog,8,21,22,0.12,0,18,96,4,69
FL540,AMD,a,COK,Smoke,3,8,5,0.22,0,15,65,4,76
FL541,BOM,a,CCU,Smoke,7,6,4,0.21,0,9,57,3,68
FL542,DEL,a,HYD,Fog,2,6,6,0.13,0,7,90,3,70
FL543,MAA,a,PNQ,Clear Skies,18,5,0,0.2,0,4,99,4,82
FL544,BOM,a,CCU,Fog,8,7,0,0.21,0,17,69,3,83
FL545,AMD,c,COK,Rain,5,3,0,0.16,7,20,94,4,80
FL546,BOM,a,CCU,Clear Skies,12,11,6,0.1,0,26,76,3,83
FL547,MAA,b,PNQ,Clear Skies,11,7,4,0.17,0,3,98,4,83
FL548,BOM,c,CCU,Smoke,3,7,4,0.13,0,8,82,3,71
FL549,JAI,c,BLR,Clear Skies,16,9,0,0.23,0,11,84,3,83
FL550,AMD,a,COK,Fog,2,8,2,0.2,0,11,76,3,70
FL551,DEL,a,HYD,Smoke,3,10,0,0.21,0,17,99,4,82
FL552,AMD,a,COK,Rain,9,19,9,0.19,2,26,72,4,77
FL553,BLR,c,IXC,Rain,7,12,4,0.07,6,26,89,3,74
FL554,BLR,c,IXC,Fog,3,2,2,0.16,0,15,90,3,80
FL555,AMD,c,COK,Smoke,2,9,3,0.05,0,16,75,4,83
FL556,AMD,a,COK,Rain,7,9,7,0.01,6,28,95,4,80
FL557,BOM,a,CCU,Smoke,2,9,3,0.21,0,14,82,4,73
FL558,AMD,c,COK,Clear Skies,9,9,7,0.08,0,14,60,4,80
FL559,DEL,c,HYD,Fog,4,5,6,0.15,0,28,65,4,77
FL560,DEL,c,HYD,Rain,7,0,1,0.11,7,22,99,4,80
FL561,AMD,a,COK,Fog,6,12,7,0.19,0,16,63,3,72
FL562,AMD,a,COK,Smoke,7,5,5,0.19,0,19,78,1,74
FL563,BLR,a,IXC,Rain,5,2,2,0.09,6,18,73,4,80
FL564,BLR,c,IXC,Smoke,6,8,7,0.11,0,4,77,3,68
FL565,BLR,a,IXC,Fog,8,8,7,0.22,0,16,66,4,78
FL566,AMD,a,COK,Smoke,8,30,16,0.13,0,28,66,4,74
FL567,BOM,a,CCU,Smoke,5,6,4,0.02,0,25,67,3,85
FL568,BLR,a,IXC,Clear Skies,15,6,6,0.08,0,6,83,4,82
FL569,BOM,a,CCU,Clear Skies,14,5,1,0.05,0,5,67,4,89
FL570,JAI,b,BLR,Rain,5,8,4,0.09,4,25,66,4,80
FL571,AMD,a,COK,Rain,7,17,13,0.11,5,23,90,4,74
FL572,BOM,a,CCU,Clear Skies,12,10,2,0.09,0,3,95,4,85
FL573,BOM,c,CCU,Rain,9,5,7,0.19,2,8,78,4,74
FL574,BLR,a,IXC,Smoke,7,1,2,0.23,0,30,91,4,81
FL575,AMD,c,COK,Smoke,4,3,0,0.09,0,16,56,4,84
FL576,MAA,c,PNQ,Smoke,7,28,21,0.2,0,9,58,3,53
FL577,MAA,b,PNQ,Clear Skies,18,21,17,0.12,0,29,79,3,74
FL578,BOM,c,CCU,Smoke,4,3,2,0.14,0,16,88,4,80
FL579,JAI,b,BLR,Fog,6,10,7,0.21,0,21,97,4,77
FL580,BOM,c,CCU,Smoke,2,6,2,0.22,0,6,89,4,70
FL581,BOM,a,CCU,Fog,4,29,25,0.14,0,28,84,4,61
FL582,JAI,a,BLR,Clear Skies,15,3,1,0.1,0,15,61,4,93
FL583,AMD,b,COK,Rain,11,5,4,0.18,6,19,88,4,83
FL584,BLR,a,IXC,Clear Skies,8,10,4,0.17,0,30,96,4,89
FL585,AMD,a,COK,Rain,5,20,15,0.06,5,4,60,4,59
FL586,BLR,b,IXC,Fog,3,15,15,0.2,0,11,76,4,63
FL587,JAI,a,BLR,Smoke,5,29,25,0.2,0,24,75,4,64
FL588,DEL,a,HYD,Rain,6,10,1,0.07,1,15,57,4,84
FL589,BOM,c,CCU,Fog,8,8,4,0.25,0,30,92,3,81
FL590,DEL,b,HYD,Rain,7,16,18,0.07,2,28,68,3,70
FL591,BOM,a,CCU,Rain,4,9,4,0.19,1,10,77,4,74
FL592,MAA,b,PNQ,Fog,4,14,13,0.08,0,18,97,4,79
FL593,MAA,a,PNQ,Rain,8,10,0,0.21,2,18,85,4,83
FL594,BLR,b,IXC,Rain,6,8,1,0.1,3,3,66,4,77
FL595,MAA,c,PNQ,Rain,5,19,15,0.24,4,2,72,4,54
FL596,JAI,c,BLR,Rain,10,6,0,0.22,6,12,71,4,80
FL597,MAA,c,PNQ,Rain,11,9,7,0.17,3,2,79,4,74
FL598,JAI,a,BLR,Smoke,6,7,5,0.16,0,15,93,4,86
FL599,JAI,a,BLR,Smoke,7,2,2,0.18,0,26,98,4,86
FL600,BLR,c,IXC,Rain,6,6,3,0.02,5,23,61,4,80
FL601,DEL,b,HYD,Clear Skies,8,9,2,0.11,0,18,82,4,86
FL602,AMD,a,COK,Smoke,3,5,2,0.15,0,2,75,4,71
FL603,JAI,a,BLR,Rain,8,1,0,0.1,2,28,98,4,89
FL604,BLR,c,IXC,Clear Skies,10,11,4,0.23,0,30,53,4,78
FL605,DEL,c,HYD,Clear Skies,16,21,12,0.09,0,18,67,4,83
FL606,MAA,b,PNQ,Smoke,6,8,0,0.21,0,29,67,4,83
FL607,DEL,b,HYD,Rain,10,16,16,0.13,2,20,91,4,79
FL608,JAI,c,BLR,Rain,6,4,1,0.16,7,20,88,3,75
FL609,MAA,a,PNQ,Rain,6,10,6,0.11,2,6,59,3,65
FL610,BLR,c,IXC,Rain,4,8,6,0.09,7,27,90,4,72
FL611,DEL,b,HYD,Rain,6,26,25,0.17,7,5,73,4,49
FL612,MAA,b,PNQ,Fog,2,9,0,0.22,0,13,56,3,71
FL613,AMD,b,COK,Clear Skies,10,17,14,0.24,0,24,65,3,76
FL614,JAI,b,BLR,Rain,11,9,0,0.23,1,23,60,4,83
FL615,MAA,a,PNQ,Clear Skies,13,5,7,0.13,0,13,91,1,76
FL616,AMD,b,COK,Rain,11,2,0,0.02,4,16,80,4,92
FL617,DEL,c,HYD,Fog,2,8,5,0.13,0,17,89,3,77
FL618,JAI,b,BLR,Fog,2,30,17,0.22,0,20,64,4,62
FL619,MAA,c,PNQ,Smoke,5,12,4,0.22,0,3,75,4,68
FL620,BLR,c,IXC,Smoke,6,4,1,0.22,0,19,59,4,80
FL621,JAI,a,BLR,Smoke,8,8,6,0.25,0,17,81,4,78
FL622,MAA,a,PNQ,Clear Skies,12,11,4,0.19,0,6,84,3,78
FL623,DEL,a,HYD,Rain,5,8,6,0.02,5,27,90,3,77
FL624,BOM,b,CCU,Clear Skies,10,6,0,0.1,0,30,90,4,98
FL625,MAA,b,PNQ,Fog,3,8,4,0.1,0,12,88,4,80
FL626,MAA,a,PNQ,Smoke,2,12,5,0.08,0,10,73,3,74
FL627,JAI,b,BLR,Fog,3,5,0,0.21,0,10,66,4,77
FL628,AMD,a,COK,Clear Skies,16,5,7,0.15,0,16,56,4,83
FL629,AMD,a,COK,Rain,8,2,1,0.17,4,25,54,4,80
FL630,BLR,b,IXC,Clear Skies,10,11,7,0.15,0,23,99,4,86
FL631,DEL,c,HYD,Smoke,5,20,10,0.13,0,5,73,4,71
FL632,DEL,b,HYD,Smoke,8,3,1,0.23,0,14,93,4,85
FL633,MAA,a,PNQ,Rain,7,8,0,0.19,3,6,52,4,74
FL634,JAI,b,BLR,Clear Skies,16,8,6,0.11,0,14,88,4,83
FL635,JAI,c,BLR,Fog,8,8,5,0.16,0,29,88,4,86
FL636,BOM,c,CCU,Fog,2,22,12,0.03,0,11,80,3,71
FL637,MAA,b,PNQ,Smoke,2,8,3,0.23,0,9,53,4,65
FL638,BLR,c,IXC,Fog,6,16,25,0.25,0,20,77,4,62
FL639,AMD,c,COK,Clear Skies,18,8,5,0.16,0,30,78,4,89
FL640,AMD,a,COK,Clear Skies,17,5,2,0.1,0,13,78,4,86
FL641,DEL,c,HYD,Rain,9,5,5,0.08,1,8,71,3,77
FL642,AMD,c,COK,Clear Skies,18,27,24,0.08,0,16,59,3,67
FL643,DEL,c,HYD,Clear Skies,14,12,3,0.15,0,20,69,4,87
FL644,BOM,a,CCU,Clear Skies,16,9,7,0.1,0,10,68,4,85
FL645,MAA,b,PNQ,Smoke,7,10,1,0.15,0,28,99,4,89
FL646,MAA,c,PNQ,Rain,7,7,6,0.18,3,11,99,3,73
FL647,AMD,a,COK,Rain,9,26,16,0.01,2,27,87,4,76
FL648,JAI,c,BLR,Clear Skies,17,5,0,0.13,0,12,77,4,90
FL649,DEL,a,HYD,Fog,2,9,7,0.22,0,8,89,4,66
FL650,BLR,a,IXC,Rain,4,7,4,0.03,7,8,96,4,72
FL651,BOM,b,CCU,Rain,10,10,2,0.09,7,10,76,3,77
FL652,JAI,a,BLR,Rain,10,9,3,0.05,4,8,52,3,72
FL653,AMD,b,COK,Rain,11,20,11,0.05,4,19,98,1,75
FL654,AMD,a,COK,Clear Skies,17,0,0,0.07,0,4,81,4,86
FL655,MAA,b,PNQ,Fog,7,12,5,0.18,0,19,73,3,78
FL656,AMD,b,COK,Clear Skies,18,9,7,0.11,0,10,60,4,80
FL657,BLR,a,IXC,Clear Skies,17,11,7,0.03,0,8,92,3,81
FL658,BOM,c,CCU,Rain,10,22,16,0.02,6,5,98,4,72
FL659,BLR,c,IXC,Fog,4,10,3,0.24,0,6,83,4,70
FL660,MAA,b,PNQ,Smoke,8,7,5,0.04,0,2,89,4,82
FL661,MAA,c,PNQ,Clear Skies,11,28,19,0.15,0,28,88,4,77
FL662,MAA,a,PNQ,Rain,5,5,6,0.22,6,8,94,4,65
FL663,MAA,b,PNQ,Clear Skies,16,11,7,0.23,0,7,53,3,65
FL664,MAA,b,PNQ,Rain,7,8,5,0.23,3,11,74,4,73
FL665,DEL,c,HYD,Smoke,5,9,4,0.03,0,15,90,4,90
FL666,BLR,a,IXC,Smoke,3,2,0,0.1,0,14,94,3,80
FL667,DEL,a,HYD,Clear Skies,11,10,1,0.14,0,19,76,4,93
FL668,AMD,a,COK,Rain,9,9,2,0.11,7,7,65,4,71
FL669,BOM,b,CCU,Clear Skies,18,10,4,0.03,0,24,67,4,94
FL670,JAI,c,BLR,Smoke,8,6,1,0.03,0,14,79,3,89
FL671,DEL,a,HYD,Clear Skies,15,10,3,0.11,0,9,92,4,86
FL672,AMD,c,COK,Fog,7,11,3,0.06,0,14,66,4,80
FL673,BOM,c,CCU,Clear Skies,15,10,6,0.16,0,30,74,4,86
FL674,AMD,a,COK,Clear Skies,10,11,6,0.07,0,25,73,3,83
FL675,BLR,c,IXC,Fog,3,10,5,0.19,0,15,95,3,80
FL676,AMD,c,COK,Fog,6,2,2,0.13,0,12,88,3,77
FL677,BOM,c,CCU,Clear Skies,10,17,14,0.16,0,20,97,4,86
FL678,DEL,c,HYD,Fog,4,6,1,0.12,0,23,99,1,77
FL679,DEL,b,HYD,Rain,10,8,5,0.14,4,15,65,4,83
FL680,MAA,a,PNQ,Smoke,6,1,0,0.07,0,26,94,4,92
FL681,JAI,a,BLR,Clear Skies,10,27,18,0.22,0,9,78,4,67
FL682,BOM,a,CCU,Rain,6,19,13,0.08,7,9,94,4,67
FL683,BOM,a,CCU,Smoke,8,6,0,0.2,0,26,85,4,86
FL684,BLR,b,IXC,Clear Skies,8,10,3,0.08,0,16,56,3,83
FL685,JAI,b,BLR,Rain,9,19,19,0.16,3,3,86,3,62
FL686,MAA,a,PNQ,Clear Skies,9,1,1,0.05,0,19,75,4,92
FL687,JAI,c,BLR,Fog,8,11,4,0.06,0,4,61,4,75
FL688,MAA,b,PNQ,Rain,11,5,1,0.14,7,8,89,3,75
FL689,AMD,a,COK,Clear Skies,17,12,7,0.19,0,7,92,4,80
FL690,BLR,c,IXC,Smoke,3,7,3,0.22,0,29,71,4,76
FL691,AMD,b,COK,Smoke,5,11,3,0.09,0,12,73,3,77
FL692,BLR,c,IXC,Rain,6,8,3,0.18,3,30,67,4,80
FL693,BOM,b,CCU,Fog,8,22,10,0.06,0,16,67,4,80
FL694,MAA,a,PNQ,Clear Skies,9,6,5,0.2,0,28,89,4,86
FL695,AMD,c,COK,Clear Skies,17,1,1,0.23,0,2,68,3,77
FL696,AMD,a,COK,Clear Skies,13,6,5,0.04,0,22,88,4,94
FL697,JAI,a,BLR,Smoke,3,9,4,0.08,0,3,92,4,76
FL698,BLR,c,IXC,Rain,10,7,4,0.22,5,29,85,4,79
FL699,BLR,a,IXC,Fog,2,5,0,0.09,0,6,95,4,83
FL700,AMD,c,COK,Fog,7,17,14,0.2,0,17,69,4,73
FL701,JAI,a,BLR,Smoke,4,6,5,0.08,0,22,55,4,78
FL702,JAI,a,BLR,Smoke,3,9,1,0.2,0,25,99,4,82
FL703,DEL,c,HYD,Smoke,6,18,16,0.17,0,21,83,4,74
FL704,MAA,b,PNQ,Fog,3,6,4,0.08,0,3,99,4,76
FL705,BLR,b,IXC,Rain,7,2,1,0.21,7,7,90,4,70
FL706,MAA,b,PNQ,Smoke,2,6,7,0.23,0,5,99,4,68
